Gene,p,padj,loglik_full,loglik_red,df_full,df_red,mean,converge_impulse,converge_const,converge_sigmoid,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isTransient,isMonotonous,allZero
FBgn0031201,0.706102877,0.999775474,-54.4871649,-55.96732674,9,4,2.368474796,0,0,0,1,1,0.306270047,0.999999999,FALSE,FALSE,FALSE
FBgn0031208,0.822816708,0.999775474,-36.99470735,-38.08784229,9,4,1.030108178,0,0,0,0.51825212,0.949736616,0.832255409,0.999999999,FALSE,FALSE,FALSE
FBgn0031209,0.978619594,0.999775474,-48.16383312,-48.55117758,9,4,1.849068344,0,0,0,0.877330671,0.974022942,0.916038096,0.999999999,FALSE,FALSE,FALSE
FBgn0031213,0.314392862,0.999775474,-136.2853823,-139.2438134,9,4,466.6866424,0,0,0,0.314123883,0.949736616,0.307906283,0.999999999,FALSE,FALSE,FALSE
FBgn0031214,0.980473952,0.999775474,-42.02802621,-42.39996602,9,4,0.835003366,0,0,0,0.689467251,0.949736616,0.999999205,0.999999999,FALSE,FALSE,FALSE
FBgn0031216,0.614326822,0.999775474,-140.358544,-142.1385511,9,4,321.1209204,0,0,0,0.743080166,0.949736616,0.396879694,0.999999999,FALSE,FALSE,FALSE
FBgn0031217,0.040011289,0.999775474,-137.1223588,-142.944164,9,4,559.0023837,0,0,0,0.253429196,0.949736616,0.030674486,0.857181477,FALSE,FALSE,FALSE
FBgn0031219,0.778549276,0.999775474,-74.54522725,-75.78840257,9,4,12.62598934,0,0,0,0.301692171,0.949736616,0.993049346,0.999999999,FALSE,FALSE,FALSE
FBgn0031224,0.550520865,0.999775474,-133.4048935,-135.4010582,9,4,380.365159,0,0,0,0.173771627,0.949736616,0.92057919,0.999999999,FALSE,FALSE,FALSE
FBgn0031227,0.116136501,0.999775474,-141.3263358,-145.7401935,9,4,201.0684063,0,0,0,0.623670611,0.949736616,0.048482878,0.999999999,FALSE,FALSE,FALSE
FBgn0031228,0.783279108,0.999775474,-152.7389108,-153.966335,9,4,470.6272822,0,0,0,0.479957095,0.949736616,0.804462556,0.999999999,FALSE,FALSE,FALSE
FBgn0031229,0.37847822,0.999775474,-145.2469801,-147.9052682,9,4,490.8974192,0,0,0,1,1,0.148609226,0.999999999,FALSE,FALSE,FALSE
FBgn0031231,0.950772314,0.999775474,-146.4970354,-147.0655592,9,4,384.510738,0,0,0,0.713383216,0.949736616,0.927248451,0.999999999,FALSE,FALSE,FALSE
FBgn0031232,0.531713907,0.999775474,-92.63969432,-94.70166205,9,4,32.95394042,0,0,0,0.240529338,0.949736616,0.735290134,0.999999999,FALSE,FALSE,FALSE
FBgn0031233,0.846532464,0.999775474,-128.5408207,-129.5502393,9,4,331.1565775,0,0,0,0.457403258,0.949736616,0.928776737,0.999999999,FALSE,FALSE,FALSE
FBgn0031235,0.669936582,0.999775474,-115.1302873,-116.7278356,9,4,62.41418682,0,0,0,0.242161598,0.949736616,0.94861627,0.999999999,FALSE,FALSE,FALSE
FBgn0031238,0.813993698,0.999775474,-123.1601402,-124.2837263,9,4,200.8545255,0,0,0,0.395197297,0.949736616,0.942211849,0.999999999,FALSE,FALSE,FALSE
FBgn0031239,0.664279689,0.999775474,-90.85254515,-92.46850525,9,4,22.99358536,0,0,0,0.227720968,0.949736616,0.965087118,0.999999999,FALSE,FALSE,FALSE
FBgn0031240,0.975420597,0.999775474,-68.82302263,-69.23545317,9,4,6.05627677,0,0,0,0.690170565,0.949736616,0.993771182,0.999999999,FALSE,FALSE,FALSE
FBgn0031244,0.870073711,0.999775474,-123.5185254,-124.4413115,9,4,224.5352133,0,0,0,0.46336144,0.949736616,0.958692139,0.999999999,FALSE,FALSE,FALSE
FBgn0031245,0.418517387,0.999775474,-142.3443665,-144.8335852,9,4,449.6786762,0,0,0,0.1046636,0.949736616,0.926633608,0.999999999,FALSE,FALSE,FALSE
FBgn0031247,0.803341124,0.999775474,-123.0458617,-124.205807,9,4,153.2505542,0,0,0,0.421258438,0.949736616,0.898518587,0.999999999,FALSE,FALSE,FALSE
FBgn0031248,0.70694319,0.999775474,-42.49821339,-43.97564971,9,4,1.168043713,0,0,0,0.303783333,0.949736616,0.902813248,0.999999999,FALSE,FALSE,FALSE
