gene_name,gene_id,p,padj,loglik_full,loglik_red,df_full,df_red,mean,converge_impulse,converge_const,converge_sigmoid,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isTransient,isMonotonous,allZero
nkd,FBgn0002945,4.49851882787124e-14,1.61537721546286e-13,-41.5304312534038,-77.3891014022406,10,5,15.7113649621633,0,0,0,1.83242849884173e-06,1.36742282279766e-05,7.9986485676255e-10,2.67164886965404e-09,TRUE,FALSE,FALSE
msn,FBgn0010909,9.04763805656753e-14,3.20043316329329e-13,-46.0918881172929,-81.2218617347436,10,5,12.3055210912744,0,0,0,1.90400646212332e-06,1.36742282279766e-05,1.57182785442908e-09,5.17393335416238e-09,TRUE,FALSE,FALSE
Ube3a,FBgn0061469,1.45822559381271e-13,5.08234508431783e-13,-91.5446076348121,-126.176463395691,10,5,656.069380599726,0,0,0,1,1,6.13630720826991e-15,2.23739201286149e-14,FALSE,TRUE,FALSE
CG34045,FBgn0054045,4.50776611124871e-13,1.54831966429847e-12,-28.0505945723829,-61.5034154739271,10,5,7.68549841392985,0,0,0,2.05452363745647e-06,1.43212382963878e-05,7.51671405018443e-09,2.34402793407067e-08,TRUE,FALSE,FALSE
pan,FBgn0085432,2.73347153020871e-12,9.25475360942092e-12,-79.0399160226798,-110.605936051371,10,5,156.537068488963,0,0,0,4.1779536417058e-08,3.80836543493952e-07,2.0823214987097e-06,5.80600229640233e-06,TRUE,FALSE,FALSE
LRP1,FBgn0053087,5.51191878515055e-11,1.83989401701504e-10,-57.126125817095,-85.5353579650934,10,5,82.0772310587602,0,0,0,1.57013293010593e-05,0.000100573379577056,1.41312405752566e-07,4.13469631646397e-07,TRUE,FALSE,FALSE
dally,FBgn0263930,5.87448644487214e-11,1.93368512143708e-10,-73.0380777672432,-101.380178094394,10,5,114.473048312125,0,0,0,0.984450317721902,1,3.04797855678522e-12,1.06231017346779e-11,FALSE,TRUE,FALSE
CG13164,FBgn0061197,6.06866836424698e-11,1.97023890729662e-10,-39.1840445486937,-67.4918722416916,10,5,7.06945234817958,0,0,0,0.00101288375779284,0.00533452112437564,2.67982896756605e-09,8.7002666481254e-09,FALSE,TRUE,FALSE
sgg,FBgn0003371,8.33224534791234e-11,2.66857046953409e-10,-60.6208574870917,-88.5944991839291,10,5,72.3997221059728,0,0,0,0.000267030715718031,0.00154356779573594,1.36595604462251e-08,4.20430626721474e-08,FALSE,TRUE,FALSE
lncRNA:CR46103,FBgn0267772,6.55979749464266e-10,2.07289600830708e-09,-32.7892108861672,-58.5821425025376,10,5,11.3739600419635,0,0,0,0.000979265920927178,0.0052746823468123,3.22649380553087e-08,9.67948141659262e-08,FALSE,TRUE,FALSE
cos,FBgn0000352,1.00155877007004e-09,3.12328195403421e-09,-57.1100188629931,-82.4544641924612,10,5,34.5924225114819,0,0,0,0.067455628877221,0.266449734065023,8.00367382892138e-10,2.67164886965404e-09,FALSE,TRUE,FALSE
Usp8,FBgn0038862,7.3555549442881e-09,2.26398249583932e-08,-36.0656922395537,-59.2905168608393,10,5,7.70497189326042,0,0,0,0.999999535687161,1,4.55075352310238e-10,1.56308490576125e-09,FALSE,TRUE,FALSE
hh,FBgn0004644,7.4820235748272e-09,2.27338408619749e-08,-110.098497172168,-133.305149607002,10,5,2088.02726142734,0,0,0,0.00992595661606333,0.0435639207038335,4.19844636572843e-08,1.24378973584705e-07,FALSE,TRUE,FALSE
cry,FBgn0025680,4.47661170311517e-08,1.34298351093455e-07,-84.9574174065992,-106.251794250015,10,5,795.524839359124,0,0,0,0.813588399319769,1,3.68122272599424e-09,1.17898619737924e-08,FALSE,TRUE,FALSE
ihog,FBgn0031872,5.52076408749528e-08,1.63552636092048e-07,-58.6182688511289,-79.687806676035,10,5,34.9897901162431,0,0,0,0.997468219871938,1,3.75782584545369e-09,1.18747296716337e-08,FALSE,TRUE,FALSE
shf,FBgn0003390,2.26714060877779e-07,6.63348548494241e-07,-94.7701589447865,-114.320222652776,10,5,1064.51147356296,0,0,0,0.772084024357803,1,2.12733353378271e-08,6.46382112187824e-08,FALSE,TRUE,FALSE
Axn,FBgn0026597,4.72232720843178e-07,1.36486774194919e-06,-86.2343323805902,-104.991676606106,10,5,824.91345129276,0,0,0,0.000158010989864025,0.000960220630712149,0.000169015281181724,0.000421648648842828,TRUE,FALSE,FALSE
arr,FBgn0000119,1.21121701663614e-06,3.45853533665981e-06,-75.7961082271108,-93.5320239615924,10,5,99.167827943815,0,0,0,0.0745192413403782,0.289525577010978,1.2059245058023e-06,3.48541594969688e-06,FALSE,TRUE,FALSE
ovo,FBgn0003028,3.34649934987987e-06,9.44190888001821e-06,-111.274932125232,-127.903293702823,10,5,2172.15406753387,0,0,0,0.0661181324398327,0.26559317607187,3.95427722962568e-06,1.07719965910493e-05,FALSE,TRUE,FALSE
dsh,FBgn0000499,7.84871273029911e-06,2.18840578480105e-05,-59.0465762371901,-74.7409853756314,10,5,46.3725624391392,0,0,0,0.00433555823247088,0.020550546021912,0.000133247927473782,0.000335954880971131,FALSE,TRUE,FALSE
